Ränta (rate),Bank,Bindningstid (loan duration),Postnummer (ZIP),Hur stort är ditt bolån (amount),När band du lånet (start date),,
"5,37",Swedbank,5 år,95263,580000,augusti 2007,,
"5,35",Swedbank,10 år,26535,,,,
"5,35",SBAB,5 år,76171,,,,
"5,35",Swedbank,10 år,81431,294000,20070925,,
"5,32",Swedbank,5 år,30239,"1,3 mkr",20071214,,
"5,32",Handelsbanken,10 år,58731,140000,20070930,,
"5,3",Swedbank,3 år,62194,,,,
"5,29",Nordea,5 år,66340,350,4/27/2007,,
"5,29",Handelsbanken,5 år,68696,163985,5/1/2007,,
"5,29",Handelsbanken,5 år,81841,134 tkr,12/1/2007,,
"5,28",Swedbank,5 år,31231,,,,
"5,28",Swedbank,5 år,36023,465000,maj 2007,,
"5,28",Swedbank,3 månader,61 335,"1,9 mkr",111020,,
"5,28",Swedbank,7 år,61734,138000,90425,,
"5,28",Swedbank,5 år,73394,"0,693 mkr",6/3/2007,,
"5,27",Swedbank,12,37 534,1000000,Februari 2003,,
"5,26",Länsförsäkringar,5 år,30234,,,,
"5,26",Länsförsäkringar,7 år,77793,450000,7/1/2007,,
"5,25",Handelsbanken,3 år,11750,120 000 SEK,2009,,
"5,25",Swedbank,5 år,12552,,,,
"5,25",Nordea,Rörlig,18 165,"1,0 mkr",Juni 2008,,
"5,25",Danske Bank,7 år,18166,,,,
"5,25",Nordea,5 år,23132,,,,
"5,25",Nordea,5 år,23132,1875000,71208,,
"5,25",Swedbank,5 år,25277,,,,
"5,25",Nordea,Rörlig,43 364,"3,8 mkr",Oktober 2011,,
"5,25",Swedbank,3 år,53231,"0,59",100101,,
"5,25",Swedbank,5 år,62157,,,,
"5,25",Nordea,5 år,62157,700000,70525,,
"5,25",Nordea,Rörlig,90654,"0""",580000,2009,
"5,24",Nordea,5 år,59341,254000,Maj 2007,,
"5,24",Handelsbanken,5 år,85645,260.000:-,7/30/2011,,
"5,23",SEB,3 år,17177,,,,
"5,23",Skandiabanken,5 år,17761,,,,
"5,23",SBAB,5 år,18378,,,,
"5,23",Länsförsäkringar,5 år,38030,239700,Sep-07,,
"5,23",Swedbank,5 år,43348,800000,Apr-07,,
"5,23",Swedbank,5 år,53462,275000,70615,,
"5,23",Swedbank,5 år,73632,470000,20070810,,
"5,23",Swedbank,5 år,80264,8000000,Maj 2007,,
"5,23",Swedbank,5 år,80264,8000000,Maj 2012,,
"5,22",Nordea,5 år,11647,,,,
"5,22",Skandiabanken,5 år,19534,190000,9/1/2011,,
"5,22",Handelsbanken,5 år,52130,500000,Nov-07,,
"5,22",Handelsbanken,5 år,52130,500000,Nov-07,,
"5,22",Handelsbanken,5 år,52130,500000,Nov-07,,
"5,22",Swedbank,10 år,56830,"400.4""1","00""",20080113,
"5,22",Swedbank,5 år,56830,"400.4""1","00""",20080113,
"5,22",Swedbank,5 år,56830,"402.4""1","00""",20080113,
"5,22",Swedbank,3 år,56830,390000,20080113,,
"5,22",Handelsbanken,10 år,81432,"0,6",10/31/2007,,
"5,22",Handelsbanken,3 år,82391,,,,
"5,21",Swedbank,3 månader,24 033,,,,
"5,21",Swedbank,6 år,58334,760 tkr,6/25/2007,,
"5,2",Handelsbanken,7 år,13037,,,,
"5,2",Swedbank,5 år,21562,450000,4/5/2007,,
"5,2",Swedbank,5 år,29833,,,,
"5,2",Swedbank,5 år,37435,552000 kr,80110,,
"5,2",Danske Bank,Rörlig,59 044,"0,7",00/00/00,,
"5,2",Nordea,7 år,69154,,,,
"5,2",Swedbank,Rörlig,81 330,,,,
"5,2",Skandiabanken,3 år,82077,200000,Jan-08,,
"5,2",Nordea,5 år,91799,"4,5",110501,,
"5,2",Handelsbanken,5 år,97432,,,,
"5,19",SEB,1 år,11322,2 mkr,20110628,,
"5,19",Swedbank,5 år,25456,900000,20070301,,
"5,19",SBAB,5 år,59039,,,,
"5,19",Nordea,5 år,61163,,,,
"5,19",Swedbank,5 år,69141,595 kkr,Maj 2007,,
"5,19",Swedbank,5 år,97332,330000,Dec-07,,
"5,18",SBAB,3 år,13671,"0,1 mkr",mars 2011,,
"5,18",Swedbank,3 år,23165,290000,Apr-09,,
"5,18",SBAB,10 år,26772,250000,11/9/2008,,
"5,18",SBAB,10 år,53196,,,,
"5,18",Swedbank,5 år,27194,"0""",600000,mars 2008,
"5,17",Länsförsäkringar,5 år,29393,578000,80330,,
"5,17",Nordea,5 år,71130,600000,augusti 2008,,
"5,17",Nordea,5 år,77570,,,,
"5,16",Swedbank,5 år,55594,,,,
"5,16",Swedbank,5 år,67192,"0,222",12/19/2007,,
"5,15",Swedbank,3 månader,11 443,"2,1",Januari 2012,,
"5,15",Länsförsäkringar,7 år,12050,,,,
"5,15",Handelsbanken,3 månader,16 341,,,,
"5,15",Handelsbanken,5 år,17270,"1,6 mkr",70630,,
"5,15",Nordea,5 år,43376,"500.0""0","00""",Apr-07,
"5,15",Swedbank,5 år,45292,937000,Nov-08,,
"5,15",Swedbank,5 år,57178,399000 kr,20071125,,
"5,15",Swedbank,5 år,57395,500000,Jan-09,,
"5,15",SEB,5 år,60354,750000,70901,,
"5,15",Länsförsäkringar,3 månader,72 338,65700,4/1/2012,,
"5,15",Swedbank,5 år,90343,223000,5/7/2012,,
"5,15",Handelsbanken,5 år,92072,400000,20100110,,
"5,14",Swedbank,3 år,14941,550000,1/1/2012,,
"5,14",Swedbank,"genomsnittlig ränta; 5, 8 resp 10 år",29 143,2 Mkr,Augusti 2007,,
"5,14",Swedbank,5 år,39470,"0,4",120920,,
"5,14",Swedbank,10 år,54155,700000,Juli 2008,,
"5,14",Nordea,5 år,54193,,,,
"5,14",SBAB,5 år,57030,,,,
"5,13",Swedbank,5 år,18751,"0,4 mkr",Oktober 2007,,
"5,13",SEB,5 år,23341,330 tkr,11/28/2007,,
"5,13",Swedbank,5 år,77730,97,2008,,
"5,13",Länsförsäkringar,3 år,83173,"01.0""2","00""",20070720,
"5,12",Handelsbanken,5 år,25591,,,,
"5,12",Swedbank,5 år,47194,580000,juni 2007,,
"5,12",Swedbank,2 år,76154,,,,
"5,1",Handelsbanken,Rörlig,12 832,355250,Lånet startade april 2007,,
"5,1",Länsförsäkringar,10 år,14134,,,,
"5,1",Länsförsäkringar,10 år,14134,,,,
"5,1",Handelsbanken,5 år,17566,"1,8",9/28/2007,,
"5,1",Handelsbanken,Rörlig,21 211,850000,2010,,
"5,1",Swedbank,2 år,28950,"180.0""0","00""",oktober08,
"5,1",Swedbank,5 år,36230,,,,
"5,1",Länsförsäkringar,5 år,38030,176400,juni 2011,,
"5,1",Länsförsäkringar,5 år,38030,179900,juni 2011,,
"5,1",Swedbank,5 år,43276,750000,70701,,
"5,1",Swedbank,5 år,45198,"1,5 mkr",maj 2007,,
"5,1",Handelsbanken,7 år,61021,61000,6/1/2010,,
"5,1",Danske Bank,10 år,65350,2000000,11/1/2007,,
"5,1",Swedbank,5 år,66434,,,,
"5,09",SBAB,4 år,11520,"1,2",maj 2008,,
"5,09",Handelsbanken,5 år,18237,185855,70901,,
"5,09",SBAB,10 år,57178,"0,3 mkr",71015,,
"5,06",Swedbank,Rörlig,29 833,375000,19980719,,
"5,06",Swedbank,3 månader,54 155,700000,Januari 2012,,
"5,05",SBAB,5 år,11422,,,,
"5,05",Nordea,Rörlig,11 442,,,,
"5,05",Handelsbanken,8,11 825,1,Sep-07,,
"5,05",Handelsbanken,5 år,13649,"3,4",Aug-07,,
"5,05",Swedbank,5 år,25351,"1,8",20071002,,
"5,05",Swedbank,Rörlig,39 354,,,,
"5,05",Swedbank,5 år,72461,"1,10mkr",Sep-07,,
"5,05",Swedbank,5 år,89151,800000,Juni 2007,,
"5,04",Handelsbanken,5 år,11864,568000,20101201,,
"5,04",Handelsbanken,5 år,26375,"0,7 mkr",7/1/2007,,
"5,04",Nordea,8,41 507,"495.0""0","00""",Juni 2004,
"5,04",Nordea,5 år,75223,1 mkr,4/1/2007,,
"5,04",Handelsbanken,5 år,93139,"1,6 mkr",Augusti 2007,,
"5,03",Swedbank,5 år,14895,,,,
"5,03",Swedbank,5 år,21221,4170000 kr,2007,,
"5,03",Swedbank,10 år,34176,132000,3/24/2007,,
