Ränta (rate),Bank,Bindningstid (loan duration),Postnummer (ZIP),Hur stort är ditt bolån (amount),När band du lånet (start date),,
"4,1",Nordea,3 månader,80 288,352500,7/1/2011,,
"4,1",Nordea,3 månader,81 193,"1,7",Sep-10,,
"4,1",Nordea,Rörlig,81 293,,,,
"4,1",Nordea,3 månader,82 042,300000,2/29/2012,,
"4,1",Nordea,3 månader,82 042,300000,29/2,,
"4,1",Nordea,Rörlig,82 075,,,,
"4,1",Nordea,3 månader,82 443,1mkr,20120327,,
"4,1",Nordea,3 månader,82 830,365000,2003,,
"4,1",Nordea,3 månader,83 151,,,,
"4,1",Skandiabanken,Rörlig,83 171,"0,4 mkr",2/1/2012,,
"4,1",Skandiabanken,Rörlig,83 247,,,,
"4,1",Swedbank,Rörlig,83 253,"1,5 mkr",Jan-12,,
"4,1",Nordea,Rörlig,85 235,950000,Nov-11,,
"4,1",Nordea,3 månader,86 432,1 mkr,120403,,
"4,1",Handelsbanken,3 månader,87 140,,,,
"4,1",Handelsbanken,3 månader,87 140,,,,
"4,1",Nordea,Rörlig,87 162,"87.0""0","00""",obundet,
"4,1",Swedbank,4 år,88135,,,,
"4,1",Nordea,3 månader,88 135,,,,
"4,1",Nordea,Rörlig,88 135,1,120320,,
"4,1",Nordea,3 månader,89 491,680000,Februari 2012,,
"4,1",Nordea,Rörlig,90 345,"1,2",3/25/2011,,
"4,1",Nordea,Rörlig,90 365,"1,9 mkr",110830,,
"4,1",Handelsbanken,5 år,92192,500000,20070506,,
"4,1",Nordea,3 månader,92 232,,,,
"4,1",Nordea,Rörlig,92 331,"0,242mkr",3/27/2012,,
"4,1",Nordea,Rörlig,93 142,"1,5",20110102,,
"4,1",Nordea,3 månader,93 145,750 tkr,5/30/2010,,
"4,1",Nordea,3 månader,93 145,750000,Mars 2010,,
"4,1",Nordea,3 månader,93 233,"0,1",3/27/2012,,
"4,1",Nordea,3 månader,93 251,288000,120327,,
"4,1",Swedbank,Rörlig,94 153,,,,
"4,1",Swedbank,Rörlig,94 431,2,Dec-11,,
"4,1",Länsförsäkringar,1 år,95251,650 tkr,6/30/2011,,
"4,1",Nordea,5 år,95337,180000,5/1/2007,,
"4,1",Swedbank,1 år,96135,,,,
"4,1",Nordea,Rörlig,96 142,585000,februari 2012,,
"4,1",Nordea,Rörlig,97 451,800000,2009,,
"4,1",Nordea,3 månader,98 139,477500,7/26/2011,,
"4,1",Handelsbanken,3 år,11769,"0""",2100000,4/1/2011,
"4,1",Skandiabanken,3 månader,11820,"0""",,,
"4,1",Nordea,Rörlig,12348,"0""",290000,201201,
"4,1",Nordea,1 år,13941,"0""",160000,20110420,
"4,1",Länsförsäkringar,2 år,19147,"0""","1,3 mkr",juni 2011,
"4,1",Nordea,1 år,21873,"0""","3,7 mKr",6/1/2011,
"4,1",Nordea,Rörlig,24135,"0""","1,2 mkr",20100301,
"4,1",Handelsbanken,Rörlig,25437,"0""","1,6",3/1/2009,
"4,1",Swedbank,3 månader,26175,"0""","1,1 mkr",Rörligt,
"4,1",Handelsbanken,3 månader,26451,"0""",800000,20120101,
"4,1",Swedbank,3 månader,42139,"0""",200000,120128,
"4,1",Nordea,3 månader,72348,"0""","01.0""7","00""",110925
"4,1",Handelsbanken,5 år,78054,"0""",,,
"4,1",Nordea,Rörlig,11 120,,,,
"4,09",SBAB,3 månader,11 230,,,,
"4,09",SBAB,Rörlig,11 231,420000,20120201,,
"4,09",SBAB,3 månader,11 235,1800000,Feb-10,,
"4,09",SBAB,3 månader,11 235,"1,77",löpande,,
"4,09",Swedbank,2 år,11328,1 miljon,Juni 2011,,
"4,09",SBAB,3 månader,11 331,3750000,3/20/2012,,
"4,09",SBAB,3 månader,11 331,3750000,3/20/2012,,
"4,09",SBAB,3 månader,11 352,"1,3",2012-,,
"4,09",SBAB,3 månader,11 537,,,,
"4,09",SBAB,Rörlig,11 539,400000,ej bundit,,
"4,09",SBAB,3 månader,11 542,"1,65 mkr",3/15/2010,,
"4,09",Handelsbanken,3 månader,11 620,"6,6 mkr",20100401,,
"4,09",SBAB,Rörlig,11 664,,,,
"4,09",Handelsbanken,3 månader,11 665,"2,9 mkr",Februari 2012,,
"4,09",SBAB,3 månader,11 726,,,,
"4,09",Handelsbanken,3 månader,11 821,"2,56",1/30/2012,,
"4,09",Swedbank,2 år,11823,800000,Juli 2011,,
"4,09",SBAB,3 månader,11 862,,,,
"4,09",SBAB,3 månader,12 240,,,,
"4,09",SBAB,3 månader,12 732,,,,
"4,09",SBAB,Rörlig,13 132,,,,
"4,09",SBAB,3 månader,13 136,2200000,110110,,
"4,09",SBAB,Rörlig,13 233,930000,-,,
"4,09",Handelsbanken,3 månader,13 236,"1,3",120301,,
"4,09",Nordea,2 år,14137,,,,
"4,09",SBAB,3 månader,14 138,,,,
"4,09",Swedbank,3 månader,14 266,"1,7",110501,,
"4,09",SBAB,3 månader,14 733,,,,
"4,09",SBAB,Rörlig,14 835,"1,3",Augusti 2010,,
"4,09",SBAB,3 månader,15 393,,,,
"4,09",SBAB,3 månader,15 393,,,,
"4,09",SBAB,3 månader,15 393,,,,
"4,09",SBAB,3 månader,15 533,,,,
"4,09",SBAB,Rörlig,16 744,,,,
"4,09",Handelsbanken,Rörlig,16 765,"0,35",20120216,,
"4,09",SBAB,Rörlig,16 868,,,,
"4,09",SBAB,3 månader,16 952,,,,
"4,09",SBAB,3 månader,16 972,,,,
"4,09",Handelsbanken,3 månader,16 974,"1,1",2/1/2012,,
"4,09",SBAB,3 månader,17 460,"0,937125 mkr",4/1/2012,,
"4,09",SBAB,3 månader,17 740,,,,
"4,09",SBAB,3 månader,18 470,"1,2 mkr",3/15/2012,,
"4,09",Handelsbanken,Rörlig,18 743,3000,2/20/2012,,
"4,09",Swedbank,3 månader,19 248,1350000,20120402,,
"4,09",SBAB,1 år,19255,,,,
"4,09",SBAB,3 månader,19 635,400000,101112,,
"4,09",SBAB,Rörlig,22 654,633000,20111213,,
"4,09",SBAB,Rörlig,24 131,990000,-,,
"4,09",SBAB,3 månader,24 634,450000,okt 2011,,
"4,09",SBAB,3 månader,26 365,3040000,4/2/2012,,
"4,09",Swedbank,3 månader,26 493,,,,
"4,09",SBAB,3 månader,27 335,975 tkr,5/2/2011,,
"4,09",Handelsbanken,Rörlig,39 365,"0,8",Feb-12,,
"4,09",SBAB,3 månader,41 120,100000,Jan-12,,
"4,09",Swedbank,7 år,41674,850000,11/25/2011,,
"4,09",Swedbank,3 år,41679,"0,5 mkr",5/1/2009,,
"4,09",SBAB,3 månader,42 653,"1,2",120215,,
"4,09",SBAB,3 månader,42 736,910000,20111201,,
"4,09",SBAB,3 månader,42 736,910000,20111201,,
"4,09",Swedbank,2 år,43350,,,,
"4,09",SBAB,Rörlig,43 893,"1,25",120224,,
"4,09",SBAB,Rörlig,44 951,"1,7 mkr",120101,,
"4,09",Swedbank,2 år,46291,"1,2 mkr",2/24/2012,,
"4,09",Swedbank,2 år,47160,52665,2/10/2011,,
"4,09",Swedbank,2 år,47160,70319,2/10/2011,,
"4,09",Swedbank,3 år,47396,,,,
"4,09",Swedbank,Rörlig,52 430,300000,-,,
"4,09",Swedbank,Rörlig,53 334,3 mkr,120403,,
"4,09",Swedbank,2 år,56730,980000,20111101,,
"4,09",Swedbank,2 år,57091,360000,20111101,,
"4,09",Swedbank,3 månader,58 597,"1,85",2/28/2012,,
"4,09",Danske Bank,Rörlig,63 220,,,,
"4,09",SBAB,3 månader,65 340,"0,2",Apr-12,,
"4,09",Swedbank,10 år,74195,,,,
"4,09",SBAB,3 månader,75 263,"0,176 mkr",Apr-12,,
"4,09",Swedbank,2 år,75453,,,,
"4,09",SBAB,3 månader,75 645,"1,1",Feb-07,,
"4,09",SBAB,3 månader,77 135,735000,1/12/2012,,
"4,09",Swedbank,2 år,84092,"1,55",11/092/5,,
"4,09",Swedbank,2 år,86234,900000,20110501,,
"4,09",Swedbank,3 år,87152,680000,12/10/2011,,
"4,09",Handelsbanken,3 månader,94 533,548000,120301,,
"4,09",Handelsbanken,3 månader,16972,"0""",337000 kr,2/1/2012,
"4,09",Swedbank,2 år,11124,,,,
"4,08",Handelsbanken,1 år,11216,"4,1",4/15/2011,,
"4,08",Handelsbanken,3 månader,11 229,985000,2/1/2012,,
"4,08",SBAB,3 månader,11 342,,,,
"4,08",SBAB,Rörlig,11 342,,,,
"4,08",Handelsbanken,3 månader,11 426,,,,
"4,08",Handelsbanken,3 månader,11 458,,,,
"4,08",Handelsbanken,Rörlig,11 543,"1,75 mkr",Rörlig,,
"4,08",SBAB,3 månader,11 632,,,,
"4,08",Handelsbanken,3 månader,11 740,3 mkr,Februari 2012,,
"4,08",Handelsbanken,3 månader,11 825,"3,1 mkr",2/1/2012,,
"4,08",Handelsbanken,3 månader,12 134,,,,
"4,08",Handelsbanken,3 månader,12 248,4996000,120104,,
"4,08",Handelsbanken,2 år,12453,"1,1 mkr",8/1/2011,,
"4,08",Handelsbanken,Rörlig,12 541,,,,
"4,08",SBAB,3 månader,12 554,"1,3 mkr",Februari 2012,,
"4,08",Swedbank,4 år,12559,796000,Oktober 2010,,
"4,08",SBAB,3 månader,12 935,,,,
"4,08",Handelsbanken,1 år,13131,,,,
"4,08",Handelsbanken,2 år,13131,,,,
"4,08",SBAB,3 månader,13 134,,,,
"4,08",Swedbank,3 månader,13 562,"3,0 mkr",120202,,
"4,08",Swedbank,3 månader,14 941,480000 kr,2/28/2012,,
"4,08",SBAB,3 månader,16 930,,,,
"4,08",SBAB,3 månader,17 266,2300000,11/1/2009,,
"4,08",Handelsbanken,3 månader,17 272,,,,
"4,08",Handelsbanken,2 år,17760,,,,
"4,08",Handelsbanken,3 månader,18 132,,,,
"4,08",Handelsbanken,3 månader,18 146,,,,
"4,08",Handelsbanken,3 månader,18 146,6,Juni 2010,,
"4,08",Handelsbanken,1 år,18331,"0,4",7/30/2011,,
"4,08",SBAB,3 månader,18 460,3 mkr,20110428,,
"4,08",SBAB,3 månader,18 595,,,,
"4,08",SBAB,3 månader,18 736,"2,8 mkr",120320,,
"4,08",Handelsbanken,1 år,18738,,,,
"4,08",Handelsbanken,3 månader,19 144,,,,
"4,08",Handelsbanken,3 månader,19 251,"2,8",Juni 2011,,
"4,08",SBAB,3 månader,19 271,765000,120301,,
"4,08",Handelsbanken,3 månader,19 430,"1,03 mkr",2/15/2012,,
"4,08",SEB,Rörlig,21 214,"01.0""5","00""",3/30/2012,
"4,08",Swedbank,2 år,21442,,,,
"4,08",Handelsbanken,2 år,21755,130000,111001,,
"4,08",Handelsbanken,Rörlig,22 474,,,,
"4,08",SBAB,3 månader,23 599,"2,9",3/25/2012,,
"4,08",Swedbank,Rörlig,25 287,"3,3 mkr",2/1/2012,,
"4,08",Swedbank,2 år,26371,,,,
"4,08",SBAB,Rörlig,31 145,,,,
"4,08",Handelsbanken,1 år,37030,"1,45 mkr",6/30/2011,,
"4,08",Nordea,7 år,37037,"1,2",111015,,
"4,08",Handelsbanken,3 år,41263,700000,20110128,,
"4,08",SBAB,Rörlig,42 670,,,,
"4,08",Swedbank,3 månader,51 631,300000,8/1/2011,,
"4,08",SBAB,Rörlig,51 737,"2,8",Inte bundet,,
"4,08",Handelsbanken,5 år,54831,130000,20100930,,
"4,08",Handelsbanken,1 år,57592,258186,110601,,
"4,08",Swedbank,Rörlig,61 132,885000,111125,,
"4,08",Handelsbanken,3 månader,61 133,,,,
"4,08",Handelsbanken,3 månader,61 137,,,,
"4,08",Swedbank,3 månader,61 163,"1,2",120328,,
"4,08",Swedbank,3 månader,61 163,"1,2",120328,,
"4,08",Handelsbanken,2 år,61336,"0,8",110730,,
"4,08",Handelsbanken,2 år,61336,"0,8",7/30/2011,,
"4,08",Handelsbanken,3 månader,61 932,"1,3 mkr",Januari 2012,,
"4,08",Handelsbanken,3 månader,61 932,"1,3 mkr",Januari 2012,,
"4,08",SBAB,Rörlig,75 224,,,,
"4,08",Handelsbanken,2 år,79137,,,,
"4,08",Handelsbanken,2 år,79137,,,,
"4,08",Swedbank,Rörlig,80 595,2,20120201,,
"4,08",Handelsbanken,Rörlig,83 161,,,,
"4,08",SBAB,3 månader,90 362,,,,
"4,08",Swedbank,2 år,90435,"1,5mkr",Dec-10,,
"4,08",Swedbank,2 år,90435,"1,5mkr",Dec-10,,
"4,07",Handelsbanken,Rörlig,11 258,"1,5 mkr",Februari 2012,,
"4,07",Handelsbanken,1 år,11264,"1,421 mkr",3/1/2012,,
"4,07",Handelsbanken,Rörlig,11 520,"0,4",00/00/00,,
"4,07",Handelsbanken,3 månader,11 628,900000,20120301,,
"4,07",Handelsbanken,3 månader,11 663,,,,
"4,07",Handelsbanken,Rörlig,11 727,900000,11/28/2007,,
"4,07",SBAB,3 månader,12 132,"1,7",120318,,
"4,07",Danske Bank,Rörlig,12 628,"2,8",mars 2012,,
"4,07",Handelsbanken,5 år,12838,"1,2",3/30/2010,,
"4,07",Handelsbanken,3 månader,13 245,,,,
"4,07",Handelsbanken,Rörlig,13 554,"2,2 mkr",Juni 2009,,
"4,07",Handelsbanken,Rörlig,14 252,3,1/31/2012,,
"4,07",Handelsbanken,3 månader,14 464,"1,5 mkr",100101,,
"4,07",Handelsbanken,2 år,14763,4 mkr,3/30/2011,,
"4,07",Handelsbanken,3 månader,16 342,"1,4",januari 2008,,
"4,07",Handelsbanken,3 månader,16 342,"1,4",januari 2008,,
"4,07",Handelsbanken,3 månader,16 342,"1,4",januari 2008,,
"4,07",SBAB,Rörlig,17 565,4000000,2007,,
"4,07",Danske Bank,Rörlig,18 238,,,,
"4,07",SBAB,3 månader,18 351,"1,4 mkr",3/12/2001,,
"4,07",Swedbank,3 månader,19 273,735 kkr,Mars 2012,,
"4,07",Handelsbanken,3 månader,19 464,"4,0 mkr",Januari 2012,,
"4,07",SEB,2 år,21574,510000,Juni 2011,,
"4,07",Handelsbanken,Rörlig,21 871,450000,120320,,
"4,07",Handelsbanken,3 månader,22 226,"1,3",2010,,
"4,07",Länsförsäkringar,3 månader,22 591,,,,
"4,07",SBAB,3 månader,24 535,814000,mas2012,,
"4,07",Handelsbanken,3 månader,25 655,"1,9",mars 2012,,
"4,07",Danske Bank,Rörlig,25 656,,,,
"4,07",Handelsbanken,3 månader,26 531,"1,9 mkr",Januari 2012,,
"4,07",Handelsbanken,3 månader,27 437,"1,8",9/1/2007,,
"4,07",Swedbank,1 år,29197,,,,
"4,07",Swedbank,1 år,29197,,,,
"4,07",Handelsbanken,Rörlig,33 152,360000,Apr-12,,
"4,07",Handelsbanken,3 månader,35 244,850000,120401,,
"4,07",SBAB,Rörlig,43 237,1195000,-,,
"4,07",Swedbank,3 månader,44 143,2 mkr,20120201,,
"4,07",Swedbank,3 år,44936,3825000,110301,,
"4,07",Handelsbanken,3 månader,46 143,970000,3/1/2012,,
"4,07",Handelsbanken,3 månader,51 493,"0,7 mkr",90715,,
"4,07",Swedbank,3 år,52491,700000,20111001,,
"4,07",Handelsbanken,3 månader,57 091,1000000 kr,20120402,,
"4,07",Handelsbanken,3 månader,59 335,"1,9",4/3/2012,,
"4,07",Handelsbanken,3 månader,61 138,"2,2 mkr",120401,,
"4,07",Handelsbanken,Rörlig,62 150,"1,9",ej bundet,,
"4,07",Handelsbanken,3 månader,64 153,375000,110601,,
"4,07",Handelsbanken,3 månader,65 350,"1,3",110201,,
"4,07",Nordea,2 år,66341,180 kkr,10/1/2010,,
"4,07",Handelsbanken,3 månader,69 791,1,120501,,
"4,07",Handelsbanken,3 månader,70 361,"0,9 mkr",Apr-12,,
"4,07",Handelsbanken,3 månader,72 213,380000,Apr-12,,
"4,07",Handelsbanken,Rörlig,72 591,334000,120301,,
"4,07",Handelsbanken,Rörlig,72 591,"1,6 mkr",120201,,
"4,07",Handelsbanken,3 månader,72 591,"1,6 mkr",Feb-12,,
"4,07",Handelsbanken,3 månader,73 630,275000,mars 2012,,
"4,07",Handelsbanken,Rörlig,79 023,"0,2 mkr",20120401,,
"4,07",Handelsbanken,3 månader,11522,"0""","1,85 mkr",Apr-12,
"4,07",SBAB,3 månader,21215,"0""","1,5",Feb-07,
"4,07",Handelsbanken,3 månader,51690,"0""",400000,2007,
"4,07",Handelsbanken,3 månader,51690,"0""",400000,2007,
"4,07",Handelsbanken,Rörlig,11 136,,,,
"4,06",Handelsbanken,3 månader,11 259,1060000,90101,,
"4,06",SBAB,3 månader,11 336,,,,
"4,06",Skandiabanken,1 år,11639,,,,
"4,06",Skandiabanken,2 år,11643,"1,4 mkr",juli 2011,,
"4,06",SBAB,3 månader,12 053,,,,
"4,06",SEB,3 månader,12 574,756000,11/1/2011,,
"4,06",Nordea,Rörlig,12 647,,,,
"4,06",SBAB,3 månader,13 172,300000,4/1/2012,,
"4,06",SBAB,Rörlig,14 567,"1,1",Rörlig ränta,,
"4,06",Swedbank,Rörlig,15 332,,,,
"4,06",Swedbank,3 månader,16 741,,,,
"4,06",Skandiabanken,1 år,16857,200000,Augusti 2011,,
"4,06",Handelsbanken,3 månader,16 866,2854000,Apr-12,,
"4,06",SBAB,3 månader,18 639,987000,2012,,
"4,06",SBAB,Rörlig,18 773,,,,
"4,06",SEB,3 år,19147,"2,2 mkr",110801,,
"4,06",SBAB,10 år,22354,,,,
"4,06",Handelsbanken,3 månader,23 435,,,,
"4,06",SEB,3 år,23838,1350000,10/10/2011,,
"4,06",SEB,3 månader,29 037,"760.0""0","00""",111220,
"4,06",Handelsbanken,Rörlig,33 151,"1,6",2010,,
"4,06",SEB,3 månader,41 308,"1,8 mkr",110930,,
"4,06",Nordea,3 månader,41 456,1mkr,1101115,,
"4,06",SBAB,3 månader,43 932,"2,3 mkr",3/19/2012,,
"4,06",Handelsbanken,3 månader,56 432,,,,
"4,06",SEB,Rörlig,66 040,"0,375 mkr",9/30/2011,,
"4,06",Handelsbanken,3 månader,86 030,"6,3 mkr",2012,,
"4,06",Swedbank,3 månader,13971,"0""",882000,Juli 2011,
"4,06",SBAB,3 månader,16960,"0""","1,25 mkr",20121221,
"4,05",SBAB,Rörlig,11 224,,,,
"4,05",Swedbank,3 månader,11 233,,,,
"4,05",Nordea,3 månader,11 233,"700.0""0","00""",20090801,
"4,05",Nordea,3 månader,11 234,"2,3 mkr",2010,,
"4,05",Handelsbanken,2 år,11241,"1,25",110615,,
"4,05",Handelsbanken,räntetat,11 264,,,,
"4,05",Handelsbanken,3 mån med lånetak 5%,11 323,"1,2 mkr",Sep-10,,
"4,05",SBAB,Rörlig,11 333,"2,6 mkr",120401,,
"4,05",Handelsbanken,3 månader,11 335,"500.0""0","00""",120401,
"4,05",Swedbank,3 månader,11 341,"3,0 mkr",Januari 2012,,
"4,05",Nordea,3 månader,11 359,1800000,20120223,,
"4,05",Handelsbanken,3 månader,11 430,"2,0 mkr",2/1/2012,,
"4,05",SEB,2 år,11523,"3,2",20110401,,
"4,05",Skandiabanken,3 månader,11 543,"1,4 mkr",februari 2012,,
"4,05",Nordea,Rörlig,11 638,"0,55 mkr",00/00/00,,
"4,05",Handelsbanken,2 år,11663,,,,
"4,05",Swedbank,räntetak tom 120427 ,11 728,"0,6 mkr",Apr-09,,
"4,05",Swedbank,3 månader,11 731,"1,630 mkr",120210,,
"4,05",Swedbank,Rörlig,11 733,3050000,120301,,
"4,05",Nordea,Rörlig,11 761,,,,
"4,05",Nordea,3 månader,11 823,"0,5 mkr",februari 2012,,
"4,05",Handelsbanken,3 månader,11 824,400000,120315,,
"4,05",Länsförsäkringar,3 månader,11 860,,,,
"4,05",Nordea,Rörlig,11 865,2930000,Aldrig,,
"4,05",Handelsbanken,3 månader,12 053,"1,3 MKR",4/1/2012,,
"4,05",SBAB,3 månader,12 066,"3,85 mkr",20120101,,
"4,05",Swedbank,3 månader,12 068,"1,6",Sep-11,,
"4,05",Swedbank,3 månader,12 137,800000,120218,,
"4,05",Skandiabanken,Rörlig,12 138,,,,
"4,05",Swedbank,Rörlig,12 348,"1,5 mkr",.,,
"4,05",SBAB,3 månader,12 432,,,,
"4,05",Swedbank,3 månader,12 450,,,,
"4,05",Swedbank,3 månader,12 534,"2,8",2/28/2012,,
"4,05",Swedbank,3 månader,12 534,"2,8",2/28/2012,,
"4,05",Skandiabanken,3 månader,12 556,,,,
"4,05",Handelsbanken,3 månader,12 649,,,,
"4,05",Skandiabanken,3 månader,12 653,"1,3",mars 2012,,
"4,05",Nordea,Rörlig,12 731,,,,
"4,05",SBAB,3 månader,12 942,,,,
"4,05",Länsförsäkringar,3 månader,13 439,,,,
"4,05",Handelsbanken,Rörlig,13 463,,,,
"4,05",Swedbank,Rörlig,13 552,"1,3",Rörlig,,
"4,05",Nordea,Rörlig,13 756,"2,3 mkr",rörligt,,
"4,05",Handelsbanken,2 år,13934,1196212,juni 2011,,
"4,05",Handelsbanken,3 månader,13 936,4,2/1/2012,,
"4,05",Handelsbanken,3 månader,14 159,1650000,mars 2012,,
"4,05",Nordea,3 månader,14 162,"1,3 mkr",20120101,,
"4,05",Nordea,3 månader,14 733,,,,
"4,05",Nordea,3 månader,14 733,1000000,Sep-10,,
"4,05",Swedbank,3 månader,15 270,825000,120301,,
"4,05",SBAB,Rörlig,16 744,"1,6 mkr",111110,,
"4,05",SBAB,3 månader,17 067,"1,7",Nov-10,,
"4,05",Nordea,Rörlig,17 072,,,,
"4,05",Nordea,3 månader,17 144,"1,05 mkr",2/16/2012,,
"4,05",Nordea,Rörlig,17 145,,,,
"4,05",SBAB,Rörlig,17 235,,,,
"4,05",Handelsbanken,3 månader,17 266,,,,
"4,05",Swedbank,Rörlig,17 569,"1,66 mkr",Februari 2012,,
"4,05",Handelsbanken,2 år,17740,"2,4 mkr",Dec-11,,
"4,05",Nordea,3 månader,17 743,"1,0 mkr",Juni 2011,,
"4,05",Swedbank,Rörlig,17 840,"1,9milj",110910,,
"4,05",Swedbank,3 år,18132,,,,
"4,05",Nordea,3 månader,18 135,,,,
"4,05",Danske Bank,Rörlig,18 160,,,,
"4,05",Handelsbanken,3 månader,18 161,7,Januari 2012,,
"4,05",Skandiabanken,Rörlig,18 263,"2,3",120401,,
"4,05",Swedbank,2 år,18461,,,,
"4,05",Nordea,Rörlig,18 461,"1,14 mkr",0,,
"4,05",Swedbank,Rörlig,18 639,,,,
"4,05",Skandiabanken,1 år,18656,"1,7 mkr",februari 2012,,
"4,05",Swedbank,3 månader,18 777,,,,
"4,05",Nordea,3 månader,19 277,480000 kr,111115,,
"4,05",Swedbank,Rörlig,19 533,2045000,20000101,,
"4,05",Nordea,Rörlig,19 596,"1,05",120124,,
"4,05",Swedbank,3 år,19736,,,,
"4,05",Swedbank,Rörlig,21 112,,,,
"4,05",Länsförsäkringar,3 månader,21 136,1400000,20120401,,
"4,05",Länsförsäkringar,3 månader,21 146,450000,120401,,
"4,05",Länsförsäkringar,3 månader,21 569,"0,8",2/22/2012,,
"4,05",Nordea,3 månader,21 745,"1,55",20120201,,
"4,05",Swedbank,3 månader,22 467,,,,
"4,05",Nordea,3 månader,23 434,"4,6 mkr",2/6/2012,,
"4,05",Handelsbanken,3 månader,23 440,1,120201,,
"4,05",Länsförsäkringar,3 månader,23 541,3 mkr,Mars 2012,,
"4,05",Nordea,Rörlig,23 843,"2,2 mkr",mars 2011,,
"4,05",Handelsbanken,3 månader,23 932,"4,0 mkr",20110201,,
"4,05",Länsförsäkringar,3 månader,24 652,"1,6 mkr",120330,,
"4,05",Länsförsäkringar,3 månader,25 223,"2,1 mkr",ej bundet,,
"4,05",Länsförsäkringar,3 månader,25 270,,,,
"4,05",Länsförsäkringar,3 månader,25 374,"1,87 mkr",10/13/2009,,
"4,05",Länsförsäkringar,3 månader,26 161,"2,2 mkr",120401,,
"4,05",Swedbank,3 år,26776,565000,110915,,
"4,05",Länsförsäkringar,Rörlig,26 877,814000,5/1/2009,,
"4,05",Länsförsäkringar,3 månader,27 141,"1,7 mkr",3/1/2012,,
"4,05",Swedbank,3 år,28072,,,,
"4,05",Länsförsäkringar,4 år,28151,780000,7/1/2011,,
"4,05",Swedbank,2 år,28234,,,,
"4,05",Swedbank,Rörlig,29 194,1264000,120228,,
"4,05",SBAB,Rörlig,30 233,,,,
"4,05",Länsförsäkringar,3 månader,30 234,,,,
"4,05",Länsförsäkringar,3 månader,30 294,600000,120302,,
"4,05",Nordea,Rörlig,33 012,"1,65",120301,,
"4,05",Länsförsäkringar,5 år,34032,300000,okt 2009,,
"4,05",Länsförsäkringar,3 månader,34 337,"2,1mkr",120101,,
"4,05",Swedbank,3 månader,35 253,,,,
"4,05",Swedbank,3 månader,35 253,1700000,2/28/2012,,
"4,05",Nordea,Rörlig,37 163,"4,4",100510,,
"4,05",Swedbank,2 år,37250,,,,
"4,05",Handelsbanken,3 månader,37 297,"0,95",Sep-10,,
"4,05",Swedbank,Rörlig,37 452,520000,mars 2012,,
"4,05",Swedbank,Rörlig,37 452,520000,mars 2012,,
"4,05",Swedbank,2 år,38695,"2,7",4/10/2011,,
"4,05",Handelsbanken,3 månader,39 233,,,,
"4,05",Nordea,1 år,41160,"1,6 mkr",Apr-11,,
"4,05",Swedbank,Rörlig,41 272,892000 kr,120128,,
"4,05",Swedbank,3 månader,41 275,800000,3/15/2012,,
"4,05",Swedbank,3 månader,41 506,1850000,120301,,
"4,05",Swedbank,Rörlig,41 680,"3,2 mkr",120201,,
"4,05",Länsförsäkringar,3 månader,41 767,680000,10/1/2005,,
"4,05",Swedbank,3 månader,41 832,510000,20120325,,
"4,05",SBAB,Rörlig,41 871,"1,6",20120215,,
"4,05",Handelsbanken,2 år,42133,"2,38 mkr",7/1/2011,,
"4,05",SBAB,Rörlig,42 333,,,,
"4,05",SBAB,3 månader,42 333,"2,3 mkr",3/28/2012,,
"4,05",Länsförsäkringar,3 månader,42 653,"0,9 mkr",120131,,
"4,05",Handelsbanken,3 månader,42 935,,,,
"4,05",Nordea,3 månader,43 161,1,3/5/2009,,
"4,05",Länsförsäkringar,Rörlig,43 163,3,20100215,,
"4,05",Handelsbanken,3 månader,43 237,"3,8",1/1/2010,,
"4,05",Swedbank,3 månader,43 266,660000,120328,,
"4,05",Swedbank,3 månader,43 291,2 mkr,2/29/2012,,
"4,05",Nordea,3 månader,43 362,"1,6",januari 2012,,
"4,05",Länsförsäkringar,3 månader,43 363,"1,9 mkr",4/1/2012,,
"4,05",Länsförsäkringar,Rörlig,43 363,"01.0""9","00""",Mars 2012,
"4,05",Nordea,3 månader,43 441,1,120102,,
"4,05",Nordea,Rörlig,43 543,,,,
"4,05",Handelsbanken,3 månader,43 543,"1,8",20120101,,
"4,05",Handelsbanken,3 månader,43 640,,,,
"4,05",Handelsbanken,3 månader,43 640,"1,8",Dec-11,,
"4,05",Länsförsäkringar,3 månader,43 992,"3,1 mkr",4/1/2012,,
"4,05",Länsförsäkringar,3 månader,43 992,"3,1",4/1/2012,,
"4,05",SBAB,3 månader,44 252,"1,1 mkr",3/26/2012,,
"4,05",SBAB,3 månader,44 252,"1,1 mkr",mars 2012,,
"4,05",Swedbank,3 månader,44 342,"1,6 mkr",3/31/2012,,
"4,05",Länsförsäkringar,Rörlig,44 374,400000,110901,,
"4,05",Länsförsäkringar,Rörlig,44 496,,,,
"4,05",Swedbank,Rörlig,44 537,1160000,20120205,,
"4,05",Nordea,3 månader,44 632,"2,5",120105,,
"4,05",Swedbank,2 år,45134,,,,
"4,05",Länsförsäkringar,Rörlig,46 159,"0,27",12/30/2011,,
"4,05",Swedbank,Rörlig,50 431,"3,75 mkr",100601,,
"4,05",Swedbank,3 månader,50 643,263000,3/1/2010,,
"4,05",Swedbank,5 år,50734,850000,2/12/2012,,
"4,05",Nordea,Rörlig,50 762,550000 kr,120127,,
"4,05",Swedbank,2 år,52232,"1,4 mkr",5/1/2011,,
