Ränta (rate),Bank,Bindningstid (loan duration),Postnummer (ZIP),Hur stort är ditt bolån (amount),När band du lånet (start date),,
"4,3",Swedbank,3 månader,11 236,,,,
"4,3",Swedbank,2 år,11237,,,,
"4,3",Handelsbanken,5 år,11245,,,,
"4,3",Nordea,Rörlig,11 247,,,,
"4,3",Nordea,3 månader,11 247,2.2 mkr,12-Dec,,
"4,3",Nordea,Rörlig,11 247,2500000,oktober 2011,,
"4,3",SBAB,3 månader,11 255,"1,5",120301,,
"4,3",SBAB,3 månader,11 262,"3,5",3/1/2012,,
"4,3",Handelsbanken,3 månader,11 321,"1,5 mkr",Februari 2012,,
"4,3",SBAB,3 månader,11 351,"0,3 mkr",20120202,,
"4,3",SBAB,3 månader,11 351,"0,3 mkr",20120202,,
"4,3",Handelsbanken,3 månader,11 455,,,,
"4,3",Swedbank,3 månader,11 522,,,,
"4,3",Handelsbanken,3 år,11528,828750,Augusti 2011,,
"4,3",Nordea,3 månader,11 553,"0,350 mkr",Februari 2012,,
"4,3",Swedbank,Rörlig,11 559,,,,
"4,3",Nordea,2 år,11622,"2,2 mkr",111102,,
"4,3",Nordea,2 år,11622,"2,2 mkr",111102,,
"4,3",Swedbank,3 månader,11 631,550000,Februari 2012,,
"4,3",Nordea,3 månader,11 643,,,,
"4,3",Nordea,3 månader,11 647,,,,
"4,3",Swedbank,3 månader,11 726,,,,
"4,3",SBAB,3 månader,11 732,"3,3 mkr",1/1/2012,,
"4,3",Handelsbanken,3 månader,11 736,,,,
"4,3",Nordea,3 månader,11 759,2,9-Sep,,
"4,3",Swedbank,Rörlig,11 761,,,,
"4,3",Swedbank,Rörlig,11 767,1 mkr,11/15/2008,,
"4,3",Handelsbanken,3 månader,11 824,,,,
"4,3",Nordea,3 månader,11 846,,,,
"4,3",Swedbank,5 år,11847,,,,
"4,3",SBAB,Rörlig,12 038,"1,6 mkr",20120301,,
"4,3",Handelsbanken,Rörlig,12 053,"1,6",rörlig,,
"4,3",Nordea,3 månader,12 065,"2,5",120225,,
"4,3",Nordea,3 månader,12 068,,,,
"4,3",Swedbank,3 månader,12 133,"2,5 mkr",2/28/2012,,
"4,3",Nordea,Rörlig,12 134,,,,
"4,3",Swedbank,Rörlig,12 138,"1,2",Augusti 2010,,
"4,3",Skandiabanken,3 månader,12 152,,,,
"4,3",Nordea,3 månader,12 242,,,,
"4,3",Swedbank,Rörlig,12 248,1 mkr,110330,,
"4,3",Swedbank,Rörlig,12 332,1174000,100901,,
"4,3",Nordea,Rörlig,12 347,,,,
"4,3",Nordea,3 månader,12 458,,,,
"4,3",Nordea,Rörlig,12 554,"1,23 mkr",Rörlig ränta,,
"4,3",Swedbank,2 år,12574,,,,
"4,3",Länsförsäkringar,3 månader,12 648,"1,35 mkr",20100630,,
"4,3",Swedbank,3 månader,12 833,,,,
"4,3",Skandiabanken,3 månader,12 869,"0,7",Februari 2012,,
"4,3",Nordea,1 år,12953,"1,25 MKR",20111127,,
"4,3",Nordea,Rörlig,13 136,750 tkr,Oktober 2009,,
"4,3",Nordea,5 år,13142,,,,
"4,3",Swedbank,3 månader,13 231,,,,
"4,3",Swedbank,3 månader,13 231,"1,8",Februari 2012,,
"4,3",Nordea,3 månader,13 236,,,,
"4,3",Handelsbanken,3 månader,13 237,"3,8",120401,,
"4,3",Länsförsäkringar,Rörlig,13 247,,,,
"4,3",Swedbank,Rörlig,13 442,,,,
"4,3",Nordea,3 månader,13 443,640000,2010,,
"4,3",Swedbank,3 månader,13 547,"0,285 mkr",x,,
"4,3",Swedbank,3 månader,13 553,,,,
"4,3",Swedbank,1 år,13553,"0,7 mkr",9/9/2011,,
"4,3",Nordea,3 månader,13 562,4,2/5/2012,,
"4,3",Nordea,3 månader,13 646,445000,111004,,
"4,3",Nordea,3 månader,13 646,445000,11-Oct,,
"4,3",Nordea,Rörlig,13 649,2000000,1/23/2012,,
"4,3",SBAB,3 månader,13 740,"0,87 mkr",20120204,,
"4,3",Handelsbanken,3 månader,13 756,3 mkr,januarii 2012,,
"4,3",Handelsbanken,3 månader,13 756,3 mkr,januarii 2012,,
"4,3",Nordea,Rörlig,13 832,"1,2",8/1/2011,,
"4,3",Nordea,1 år,13940,"3,5",20120401,,
"4,3",Nordea,1 år,13940,"3,5",120401,,
"4,3",Swedbank,1 år,14132,529000,juni 2011,,
"4,3",Skandiabanken,3 månader,14 133,,,,
"4,3",Skandiabanken,3 månader,14 137,625 kkr,1/31/2012,,
"4,3",Handelsbanken,3 månader,14 138,"2,6 mkr",mars 2011,,
"4,3",Nordea,3 månader,14 162,"1,4 mkr",2012-02,,
"4,3",Nordea,1 år,14170,"0,3",110727,,
"4,3",SEB,Rörlig,14 172,,,,
"4,3",Nordea,3 månader,14 240,3200000,120118,,
"4,3",Handelsbanken,3 månader,14 264,"1,6",Januri 2012,,
"4,3",Swedbank,Rörlig,14 347,"176.0""0","00""",har inte bundit lånet,
"4,3",Swedbank,3 månader,14 347,"176.0""0","00""",2012.02.15,
"4,3",SBAB,1 år,14440,"1,75",20120308,,
"4,3",Swedbank,Rörlig,14 560,"1,1 mkr",-,,
"4,3",Nordea,4 år,14645,340000,111007,,
"4,3",Nordea,Rörlig,14 733,,,,
"4,3",Swedbank,1 år,14770,750000 kr,20110711,,
"4,3",Swedbank,3 månader,14 835,,,,
"4,3",SEB,Rörlig,14 932,2100000,mars 2011,,
"4,3",SEB,Rörlig,14 932,2100000,mars 2011,,
"4,3",SEB,Rörlig,14 932,2100000,mars 2011,,
"4,3",SEB,Rörlig,14 932,2100000,mars 2011,,
"4,3",Nordea,Rörlig,14 935,"1,7",10-Apr,,
"4,3",Swedbank,Rörlig,15 136,"0,5 mkr",90601,,
"4,3",Nordea,Rörlig,15 152,"1,7 mkr",20120101,,
"4,3",Swedbank,Rörlig,15 270,821000,20120301,,
"4,3",Skandiabanken,3 månader,16 346,"0,8 mkr",120401,,
"4,3",Handelsbanken,3 månader,16 351,,,,
"4,3",Nordea,3 månader,16 354,,,,
"4,3",Swedbank,Rörlig,16 448,,,,
"4,3",Handelsbanken,Rörlig,16 572,,,,
"4,3",Handelsbanken,10 år,16752,"0,5mkr",10/30/2005,,
"4,3",SBAB,3 månader,16 753,"2,3 mkr",120101,,
"4,3",Nordea,3 månader,16 854,,,,
"4,3",Swedbank,Rörlig,16 865,"1,3",2/28/2012,,
"4,3",Nordea,3 månader,16 865,500000,maj 2008,,
"4,3",Handelsbanken,3 månader,16 935,,,,
"4,3",Nordea,Rörlig,16 936,,,,
"4,3",Handelsbanken,Rörlig,16 939,,,,
"4,3",SBAB,3 månader,16 953,,,,
"4,3",Nordea,3 månader,16 955,,,,
"4,3",Swedbank,1 år,16969,1072000,9/9/2011,,
"4,3",Nordea,3 månader,16 974,1150000,20100901,,
"4,3",Nordea,Rörlig,16 974,"2,1 mkr",11-Dec,,
"4,3",Nordea,3 månader,17 147,"0,5 mkr",januari 2012,,
"4,3",Swedbank,3 månader,17 156,1,120128,,
"4,3",Länsförsäkringar,3 år,17163,"1,7 mkr",11-Apr,,
"4,3",SBAB,Rörlig,17 265,"1,3 mkr",20120303,,
"4,3",Handelsbanken,Rörlig,17 545,,,,
"4,3",Swedbank,3 månader,17 551,"1,275",Februari 2012,,
"4,3",Swedbank,3 månader,17 674,650000,1/1/2010,,
"4,3",SBAB,3 månader,17 836,,,,
"4,3",Handelsbanken,10 år,18131,,,,
"4,3",Nordea,3 år,18133,4 mkr,20120103,,
"4,3",Nordea,1 år,18133,"2,2 mkr",2010,,
"4,3",Swedbank,3 månader,18 134,1800000,2/28/2012,,
"4,3",Swedbank,3 månader,18 143,3500000,Februari 2012,,
"4,3",Swedbank,3 år,18147,1 mkr,5/30/2010,,
"4,3",Handelsbanken,3 månader,18 148,300000,3/1/2012,,
"4,3",Swedbank,Rörlig,18 231,,,,
"4,3",Nordea,Rörlig,18 245,3mkr,rörligt,,
"4,3",Handelsbanken,3 månader,18 260,,,,
"4,3",Danske Bank,3 år,18260,"1,2",9/15/2009,,
"4,3",Swedbank,Rörlig,18 273,"0,5 mkr",120101,,
"4,3",Swedbank,3 månader,18 276,"1,34 mkr",2/19/2012,,
"4,3",Swedbank,3 månader,18 363,800000,Februari 2011,,
"4,3",Skandiabanken,Rörlig,18 368,,,,
"4,3",Handelsbanken,Rörlig,18 493,,,,
"4,3",Handelsbanken,3 månader,18 649,"2,5 mkr",2004,,
"4,3",Nordea,3 månader,18 735,"3,3 mkr",2010,,
"4,3",SBAB,3 månader,18 742,,,,
"4,3",Swedbank,3 månader,18 746,,,,
"4,3",Nordea,3 månader,18 751,,,,
"4,3",Nordea,3 månader,18 751,,,,
"4,3",Nordea,Rörlig,18 752,,,,
"4,3",Swedbank,Rörlig,18 753,,,,
"4,3",Swedbank,3 månader,18 768,50000,20120129,,
"4,3",Skandiabanken,3 månader,18 770,,,,
"4,3",Swedbank,3 månader,18 772,"2,4 mkr",juli 2005,,
"4,3",Skandiabanken,3 månader,19 135,,,,
"4,3",Skandiabanken,3 månader,19 141,713000,januari 2012,,
"4,3",Swedbank,3 månader,19 251,,,,
"4,3",SBAB,3 månader,19 259,"1,3 mkr",4/1/2012,,
"4,3",Nordea,3 månader,19 442,,,,
"4,3",Handelsbanken,3 månader,19 442,"1,267",20080613,,
"4,3",Nordea,3 månader,19 446,,,,
"4,3",Nordea,Rörlig,19 451,489000,120301,,
"4,3",Nordea,3 månader,19 478,580000,Februari 2006,,
"4,3",Swedbank,2 år,19530,200000,2010,,
"4,3",SEB,Rörlig,19 533,600000,8-Nov,,
"4,3",Swedbank,Rörlig,19 551,,,,
"4,3",Swedbank,Rörlig,19 551,,,,
"4,3",Handelsbanken,3 månader,19 596,1mkr,Januari 2008,,
"4,3",Nordea,Rörlig,21 130,520000,50401,,
"4,3",Swedbank,3 månader,21 149,450000,120228,,
"4,3",Swedbank,Rörlig,21 230,"0,6 mkr",2010,,
"4,3",Nordea,3 månader,21 232,,,,
"4,3",Nordea,5 år,21454,,,,
"4,3",Swedbank,Rörlig,21 574,680000,90601,,
"4,3",Handelsbanken,3 månader,21 620,"2,3",februari 2012,,
"4,3",SBAB,Rörlig,21 622,"2,6 mkr",110815,,
"4,3",SBAB,3 månader,21 757,"1,2 Mkr",Mars 2008,,
"4,3",Nordea,3 månader,21 763,,,,
"4,3",Swedbank,Rörlig,22 456,1250000,2010,,
"4,3",Handelsbanken,3 månader,22 475,,,,
"4,3",SBAB,Rörlig,22 475,"1,4 mkr",101230,,
"4,3",SBAB,Rörlig,23 239,"2,25 mkr",2/10/2012,,
"4,3",Handelsbanken,3 månader,23 741,"2,5mkr",20120101,,
"4,3",Swedbank,2 år,23832,350000,4/27/2012,,
"4,3",Swedbank,Rörlig,24 462,"2,57 mkr",har ej bundit,,
"4,3",Swedbank,Rörlig,24 562,1042000,2/28/2012,,
"4,3",Länsförsäkringar,3 månader,24 593,"2,0 mkr",210101,,
"4,3",Nordea,Rörlig,24 632,,,,
"4,3",Nordea,3 månader,25 252,2470000,20100901,,
"4,3",Swedbank,3 år,25351,"1,3",6/30/2009,,
"4,3",Nordea,3 månader,25 354,910,120216,,
"4,3",Swedbank,Rörlig,25 438,1,20120301,,
"4,3",Swedbank,3 månader,26 130,650000,mars2012,,
"4,3",Nordea,5 år,26193,"1,2mkr",120130,,
"4,3",Handelsbanken,Rörlig,26 292,"1,2 mkr",2006,,
"4,3",Handelsbanken,Rörlig,26 292,"1,2 mkr",12-Apr,,
"4,3",Swedbank,Rörlig,26 691,,,,
"4,3",Swedbank,Rörlig,26 691,,,,
"4,3",Handelsbanken,Rörlig,27 176,2230000,20090601,,
"4,3",Swedbank,3 månader,28 141,,,,
"4,3",Swedbank,3 månader,28 141,,,,
"4,3",SBAB,3 månader,28 633,1000000,2/5/2012,,
"4,3",Swedbank,3 år,28831,"0,6 mkr",120201,,
"4,3",Swedbank,3 månader,29 133,477000,20120201,,
"4,3",Swedbank,Rörlig,29 146,910000 kr,2005,,
"4,3",Swedbank,3 månader,29 192,"0,7",2012.03.04,,
"4,3",Swedbank,3 månader,29 439,900000,2/28/2012,,
"4,3",Swedbank,Rörlig,29 638,2250000,mars 2009,,
"4,3",Swedbank,3 månader,30 263,750000,2/28/2012,,
"4,3",Nordea,3 månader,30 292,300000,11-Aug,,
"4,3",Swedbank,1 år,30597,,,,
"4,3",Nordea,3 månader,31 038,,,,
"4,3",Swedbank,3 månader,31 172,,,,
"4,3",Swedbank,Rörlig,33 153,,,,
"4,3",Nordea,3 månader,33 153,"1,1mkr",2/28/2012,,
"4,3",Swedbank,Rörlig,33 531,,,,
"4,3",Swedbank,3 månader,33 531,"0,533",Februari 2012,,
"4,3",Swedbank,3 månader,33 594,570000,10/15/2010,,
"4,3",Handelsbanken,Rörlig,34 230,,,,
"4,3",Swedbank,3 månader,34 234,"1,61",2009 aug,,
"4,3",Swedbank,3 månader,35 232,580000,20090128,,
"4,3",Swedbank,3 månader,35 245,,,,
"4,3",Länsförsäkringar,Rörlig,35 250,"1,8 mkr",2009,,
"4,3",SEB,Rörlig,35 264,2000000 kr,2008,,
"4,3",Swedbank,Rörlig,36 230,,,,
"4,3",Swedbank,3 månader,37 239,800000,12/12/2011,,
"4,3",Swedbank,3 månader,37 251,450000,5/28/2009,,
"4,3",Handelsbanken,3 månader,37 433,700000,Juli 2010,,
"4,3",Swedbank,Rörlig,37 530,500000,20,,
"4,3",Swedbank,Rörlig,37 637,115000,20120315,,
"4,3",Swedbank,3 månader,38 896,"2,2",9-Dec,,
"4,3",Swedbank,5 år,39231,,,,
"4,3",Länsförsäkringar,2 år,39238,620000,7/1/2011,,
"4,3",SEB,3 år,39351,"1,2",11.04.01,,
"4,3",Swedbank,3 månader,39 355,"1,2",20120115,,
"4,3",Skandiabanken,Rörlig,41 134,"0,5mkr",3/31/2012,,
"4,3",Handelsbanken,3 månader,41 139,2,1/1/2012,,
"4,3",Nordea,Rörlig,41 307,"1,2",2012,,
"4,3",SEB,1 år,41457,,,,
"4,3",Nordea,3 månader,41 458,900000,2/2/2012,,
"4,3",Swedbank,Rörlig,41 461,,,,
"4,3",Swedbank,3 månader,41 506,"1,2 mkr",Februari 2012,,
"4,3",Nordea,Rörlig,41 669,"1,3 mkr",3/27/2012,,
"4,3",Nordea,3 månader,41 672,610000,12-Jan,,
"4,3",Handelsbanken,3 månader,41 720,2000000,/,,
"4,3",Swedbank,3 månader,41 729,"0,7 mkr",2/28/2012,,
"4,3",Skandiabanken,3 månader,42 157,,,,
"4,3",Swedbank,3 månader,42 438,,,,
"4,3",Danske Bank,2 år,42735,1150000,2011-04-31,,
"4,3",Nordea,Rörlig,42 836,"1,9 mkr",120303,,
"4,3",Swedbank,2 år,42932,900000,Mars 2011,,
"4,3",Swedbank,3 månader,43 138,,,,
"4,3",Swedbank,3 månader,43 234,500000,februari 2012,,
"4,3",Swedbank,3 månader,43 238,900000,1/15/2012,,
"4,3",Swedbank,1 år,43246,,,,
"4,3",Swedbank,1 år,43246,196000,Juli 2011,,
"4,3",Nordea,3 månader,43 347,1000000,120209,,
"4,3",Swedbank,3 månader,43 498,,,,
"4,3",Swedbank,3 månader,43 530,220000,2/25/2012,,
"4,3",Nordea,3 år,43543,,,,
"4,3",Swedbank,3 månader,43 791,,,,
"4,3",Skandiabanken,3 månader,43 892,"0,8 mkr",2/1/2012,,
"4,3",Nordea,Rörlig,43 937,,,,
"4,3",Swedbank,3 månader,43 964,"1,5",90101,,
"4,3",Handelsbanken,Rörlig,44 144,,,,
"4,3",Swedbank,3 år,44192,300000,90610,,
"4,3",Swedbank,Rörlig,44 194,"1,1",120228,,
"4,3",Nordea,3 månader,44 370,,,,
"4,3",Swedbank,Rörlig,44 635,,,,
"4,3",Swedbank,3 månader,44 896,"2,5 mkr",20081010,,
"4,3",Swedbank,3 månader,45 194,"0,6 mkr",11/28/2010,,
"4,3",Swedbank,Rörlig,45 260,"1,75 mkr",Har inte bundit,,
"4,3",Swedbank,3 månader,45 392,220000,3 mån,,
"4,3",Swedbank,3 månader,45 748,750000,120228,,
"4,3",Swedbank,Rörlig,45 932,375000,111111,,
"4,3",Länsförsäkringar,Rörlig,46 134,"0,6 mkr",2/5/2012,,
"4,3",Swedbank,Rörlig,46 135,780000,12-Feb,,
"4,3",Handelsbanken,3 månader,46 155,"1,3",20120101,,
"4,3",Nordea,2 år,46164,890000,110326,,
"4,3",Nordea,3 månader,46 230,265000,20090801,,
"4,3",Swedbank,3 månader,46 597,82000,20120228,,
"4,3",Länsförsäkringar,2 år,46732,560000,3/30/2011,,
"4,3",Swedbank,3 månader,47 160,450000,2/28/2012,,
"4,3",Swedbank,3 månader,50 445,"1,4 mkr",Juli 2011,,
"4,3",Swedbank,Rörlig,50 458,273000,februari 2009,,
"4,3",Swedbank,Rörlig,50 458,273000,februari 2009,,
"4,3",Handelsbanken,3 månader,50 764,,,,
"4,3",Swedbank,Rörlig,51 191,"1,4",maj2010,,
"4,3",Swedbank,Rörlig,51 191,"1,4",maj2010,,
"4,3",Swedbank,Rörlig,51 194,,,,
"4,3",Swedbank,Rörlig,51 335,1 mkr,120101,,
"4,3",Nordea,3 månader,51 431,,,,
"4,3",Swedbank,Rörlig,51 443,240000,19950101,,
"4,3",Nordea,Rörlig,51 570,"1,6 mkr",1/1/2010,,
"4,3",Swedbank,3 månader,51 633,1440000,20120122,,
"4,3",Swedbank,3 månader,51 735,431000,2/15/2012,,
"4,3",Swedbank,3 månader,51 997,558750 kr,120228,,
"4,3",Swedbank,Rörlig,52 151,,,,
"4,3",Swedbank,10 år,52162,,,,
"4,3",Swedbank,3 månader,52 432,,,,
"4,3",Swedbank,3 månader,53 155,"1,4",20120128,,
"4,3",SBAB,3 månader,53 196,,,,
"4,3",Swedbank,Rörlig,54 017,,,,
"4,3",Nordea,Rörlig,54 157,"1,65 mkr",11-Nov,,
"4,3",Nordea,Rörlig,54 193,480 tkr,110101,,
"4,3",Swedbank,Rörlig,54 332,430,2/28/2012,,
"4,3",Swedbank,Rörlig,55 337,700000,Maj 2010,,
"4,3",Nordea,3 månader,55 447,"3,1 mkr",juni 2009,,
"4,3",Swedbank,2 år,55466,,,,
"4,3",Skandiabanken,3 månader,55 632,444000,2/1/2012,,
"4,3",Nordea,3 månader,56 432,"1,4",12-Jan,,
"4,3",Nordea,3 månader,56 433,"2,1 mkr",februari 2012,,
"4,3",Nordea,3 månader,56 600,,,,
"4,3",Swedbank,3 månader,57 013,285000,120228,,
"4,3",Swedbank,3 månader,57 090,"0,83 mkr",120228,,
"4,3",SBAB,3 månader,57 137,,,,
"4,3",Nordea,Rörlig,57 138,9000000,10-Sep,,
"4,3",Swedbank,3 månader,57 141,,,,
"4,3",Nordea,3 månader,57 291,"2,3 mkr",2/16/2012,,
"4,3",Handelsbanken,3 månader,57 337,,,,
"4,3",Handelsbanken,3 månader,57 337,,,,
"4,3",Nordea,3 månader,57 495,"12,175",januari 2012,,
"4,3",Länsförsäkringar,3 månader,58 214,"1,1 mkr",120120,,
"4,3",Nordea,3 månader,58 216,"0,388 mkr",11/11/2011,,
"4,3",Handelsbanken,3 månader,58 245,"2,580 mkr",Februari 2012,,
"4,3",Länsförsäkringar,5 år,58333,500000,20120310,,
"4,3",Nordea,Rörlig,58 735,250000,20120509,,
"4,3",Swedbank,Rörlig,58 943,1.8 mkr,1/1/2012,,
"4,3",Nordea,5 år,59033,470tkr,20110417,,
"4,3",Handelsbanken,3 månader,59 073,"1,5",Mars 2012,,
"4,3",Nordea,Rörlig,59 196,580000,100915,,
"4,3",Handelsbanken,3 månader,60 234,"4,8 mkr",12-Apr,,
"4,3",Nordea,3 månader,60 345,,,,
"4,3",Swedbank,3 månader,60 350,"0,31 mkr",*,,
"4,3",Nordea,Rörlig,60 373,700,20120301,,
"4,3",Swedbank,1 år,60377,,,,
"4,3",Skandiabanken,3 månader,61 131,,,,
"4,3",Swedbank,Rörlig,61 134,,,,
"4,3",Swedbank,3 månader,61 430,,,,
"4,3",Nordea,3 månader,61 892,,,,
"4,3",Swedbank,Rörlig,63 221,,,,
"4,3",Swedbank,3 månader,63 508,"230.0""0","00""",1/17/2012,
"4,3",Nordea,Rörlig,64 045,,,,
"4,3",Swedbank,3 månader,64 193,"0,9 mkr",70101,,
"4,3",Swedbank,3 månader,64 431,"1,5",120101,,
"4,3",Swedbank,3 månader,64 436,,,,
"4,3",Swedbank,3 månader,64 531,3 mkr,9-Dec,,
"4,3",Swedbank,Rörlig,64 562,1 mkr,Februari 2012,,
"4,3",Swedbank,Rörlig,64 691,"1,6 mkr",Augusti 2011,,
"4,3",Nordea,3 månader,64 752,,,,
"4,3",Handelsbanken,3 månader,65 229,677000,20120201,,
"4,3",Skandiabanken,3 månader,65 461,,,,
"4,3",Nordea,Rörlig,65 638,,,,
"4,3",Nordea,3 månader,66 010,550000,8-Apr,,
"4,3",Nordea,5 år,66060,,,,
"4,3",Handelsbanken,3 månader,66 237,0.5 mkr,mars 2012,,
"4,3",Nordea,Rörlig,66 533,230000,120127,,
"4,3",Handelsbanken,3 månader,66 731,,,,
"4,3",Nordea,3 månader,67 150,,,,
"4,3",Nordea,3 månader,67 391,,,,
"4,3",Swedbank,Rörlig,69 293,,,,
"4,3",Handelsbanken,Rörlig,69 792,,,,
"4,3",Swedbank,Rörlig,70 217,,,,
"4,3",Swedbank,2 år,70217,,,,
"4,3",Handelsbanken,5 år,70217,900 kkr,2009,,
"4,3",Handelsbanken,2 år,70228,"1,1 mkr",2011,,
"4,3",Skandiabanken,3 månader,70 354,"1,4 mkr",1/20/2012,,
"4,3",Skandiabanken,3 månader,70 354,"1,4",januari 2012,,
"4,3",Swedbank,3 månader,70 374,350000,120528,,
"4,3",Swedbank,3 månader,71 131,,,,
"4,3",Swedbank,3 år,71196,350000,10/1/2011,,
"4,3",Handelsbanken,3 månader,72 243,"1,1",2011,,
"4,3",Swedbank,3 månader,72 340,2,12/31/2011,,
"4,3",Swedbank,3 månader,72 471,,,,
"4,3",Swedbank,2 år,72476,,,,
"4,3",Nordea,5 år,73153,454,7/26/2010,,
"4,3",Swedbank,3 månader,73 191,,,,
"4,3",Swedbank,3 månader,73 191,,,,
"4,3",Swedbank,3 månader,73 232,664576,20090316,,
"4,3",Nordea,3 månader,74 131,542000,12-Jan,,
"4,3",Handelsbanken,Rörlig,74 372,"0,9 mkr",1/1/2010,,
"4,3",Länsförsäkringar,5 år,74495,750000,2011,,
"4,3",Swedbank,3 månader,74 593,"1,3 mkr",2/28/2012,,
"4,3",Swedbank,3 månader,74 795,,,,
"4,3",Handelsbanken,3 månader,74 949,,,,
"4,3",SEB,Rörlig,75 236,340000,20120108,,
"4,3",Swedbank,Rörlig,75 330,"2,5 mkr",20090601,,
"4,3",Länsförsäkringar,3 månader,75 331,,,,
"4,3",Länsförsäkringar,1 år,75434,,,,
"4,3",SBAB,3 månader,75 447,,,,
"4,3",SBAB,3 månader,75 643,,,,
"4,3",Nordea,Rörlig,75 646,,,,
"4,3",Swedbank,3 månader,75 653,"1,17",120128,,
"4,3",Swedbank,1 år,76164,"1,872",110810,,
"4,3",Swedbank,Rörlig,76 194,2.2 mkr,20100223,,
"4,3",SBAB,2 år,77141,980000,20111201,,
"4,3",Nordea,3 månader,77 142,637000,120209,,
"4,3",Swedbank,3 månader,77 232,367000,20120130,,
"4,3",Länsförsäkringar,3 månader,79 022,"0,8",120130,,
"4,3",Handelsbanken,Rörlig,79 131,,,,
"4,3",Nordea,3 månader,79 141,,,,
"4,3",Swedbank,3 månader,79 191,,,,
"4,3",Swedbank,3 månader,79 231,403000,2/28/2012,,
"4,3",Swedbank,3 månader,79 332,"1,125 mkr",201111001,,
"4,3",Swedbank,3 månader,80 628,1 mkr,20120228,,
"4,3",Swedbank,3 månader,81 191,,,,
"4,3",Handelsbanken,3 månader,81 440,462000,20120101,,
"4,3",Nordea,3 månader,81 493,,,,
"4,3",Nordea,Rörlig,81 695,630000,20111210,,
"4,3",Handelsbanken,3 månader,81 730,2,Januari 2012,,
"4,3",Swedbank,Rörlig,81 841,700000,-,,
"4,3",Nordea,3 månader,82 011,500000,11-Dec,,
"4,3",Nordea,2 år,82064,430000,7/27/2010,,
"4,3",Swedbank,3 månader,82 064,"363,5",5/26/2008,,
"4,3",Swedbank,Rörlig,82 434,"0,45 mkr",4/1/2010,,
"4,3",Nordea,3 månader,82 794,,,,
"4,3",Nordea,3 månader,82 794,,,,
"4,3",Swedbank,Rörlig,83 023,460000,20120301,,
"4,3",Swedbank,3 månader,83 131,"0,41 mkr",0,,
"4,3",Swedbank,3 månader,83 255,,,,
"4,3",Nordea,5 år,83294,"1,5",120101,,
"4,3",Handelsbanken,3 månader,84 012,"0,35",2011,,
"4,3",Swedbank,3 år,84064,360000,mars2010,,
"4,3",Swedbank,3 månader,86 030,"1,2 mkr",2/28/2012,,
"4,3",Handelsbanken,5 år,86335,"1,1 mkr",4/1/2009,,
"4,3",Nordea,3 månader,86 533,"0,84 mkr",1/15/2012,,
"4,3",Swedbank,3 månader,87 298,140000,120228,,
"4,3",Nordea,3 månader,89 142,450000,1/1/2011,,
"4,3",Länsförsäkringar,3 månader,90 365,"2,4 mkr",10-Feb,,
"4,3",Handelsbanken,3 månader,90 624,900000,120130,,
"4,3",Nordea,Förmånskund,90 643,,,,
"4,3",Nordea,Rörlig,90 751,,,,
"4,3",Nordea,3 månader,91 335,,,,
"4,3",Swedbank,3 månader,91 695,,,,
"4,3",SEB,3 månader,93 152,1200000,Januarie 2012,,
"4,3",Swedbank,3 månader,94 533,,,,
"4,3",Swedbank,Rörlig,95 395,,,,
"4,3",Swedbank,Rörlig,96 198,400000,rörlig,,
"4,3",Swedbank,3 månader,98 131,,,,
"4,3",Swedbank,3 månader,98 236,115000,Feb,,
"4,3",Nordea,Rörlig,12059,"0""",590000,juni 2010,
"4,3",Nordea,1 år,16874,"0""",910000,4/25/2011,
"4,3",Swedbank,3 månader,18165,"0""",5,vet ej,
"4,3",Skandiabanken,3 månader,18461,"0""","0,8",1/30/2012,
"4,3",Nordea,3 månader,25731,"0""","1,9",maj 2011,
"4,3",Nordea,3 månader,43436,"0""","2,1 mkr",2006 Autusti,
"4,3",Swedbank,3 månader,44291,"0""",1 mkr,111221,
"4,3",Nordea,Rörlig,89632,"0""",270000,2009,
"4,3",Nordea,Rörlig,89632,"0""",270000,2009,
"4,3",Swedbank,3 månader,11 130,"1,5",12o228,,
"4,29",Handelsbanken,3 månader,11 224,,,,
"4,29",Handelsbanken,Rörlig,11 228,,,,
"4,29",Swedbank,2 år,11457,"3,5",5/22/2011,,
"4,29",Handelsbanken,1 år,12148,"1,9 mkr",111201,,
"4,29",SBAB,Rörlig,12 846,400000,11-Nov,,
"4,29",Swedbank,2 år,12942,"2,9",4/16/2011,,
"4,29",SBAB,3 månader,14 145,"1,4 mkr",12-Jan,,
"4,29",Nordea,3 år,14636,"0,2 mkr",Februari 2011,,
"4,29",SEB,2 år,15155,"0,1mkr",3/22/2012,,
"4,29",Swedbank,2 år,17160,"1,9 mkr",20110810,,
"4,29",SBAB,3 månader,21 148,,,,
"4,29",Handelsbanken,2 år,36142,400000,4/1/2011,,
"4,29",Handelsbanken,1 år,43265,,,,
"4,29",Handelsbanken,3 månader,43 543,674000,20120401,,
"4,29",Swedbank,Rörlig,44 370,"1,75",maj 2007,,
"4,29",Swedbank,3 år,44533,450000,110425,,
"4,29",Handelsbanken,3 månader,58 275,,,,
"4,29",Swedbank,3 månader,61 433,,,,
"4,29",Swedbank,3 månader,72 338,450000,12/29/2012,,
"4,29",Swedbank,2 år,75331,,,,
"4,29",SBAB,3 månader,75 447,,,,
"4,29",Handelsbanken,1 år,94139,940000,110901,,
"4,29",Swedbank,3 år,94164,193600,11-Dec,,
